update,step,avg_reward,value_loss,policy_loss
1,1024,39.48459539547365,35.819413375854495,-0.006346969574224204
2,2048,38.92659618380411,34.75326161384582,-0.0020131205092184246
3,3072,42.79191726277008,33.946427726745604,-0.009819486003834754
4,4096,47.48037880123162,31.79997310638428,-0.004211529507301748
5,5120,53.962668306678246,32.35461864471436,-0.00335740220034495
6,6144,49.23882215283208,30.37775115966797,-0.005226651846896857
7,7168,49.118822152832074,29.57850351333618,-0.004477779334411025
8,8192,50.42422495507777,29.572506189346313,-0.00694921116810292
9,9216,53.27497599898593,29.04865965843201,-0.01035509598441422
10,10240,54.00497599898593,29.782271003723146,-0.004511113720946014
11,11264,54.62805292206285,29.72502374649048,-0.00217343014664948
12,12288,56.36574522975517,29.855304527282716,-0.005854440946131944
13,13312,53.494975998985936,30.20328288078308,-0.00363208259223029
14,14336,55.07651446052439,31.65987982749939,-0.011582230078056454
15,15360,55.18036061437054,33.8877317905426,-0.0011161908856593072
16,16384,54.054975998985924,35.616548728942874,-0.0018449228489771485
17,17408,51.56497599898593,38.057112550735475,-0.002500968088861555
18,18432,56.138052922062855,38.94329042434693,-0.005634745000861585
19,19456,50.43018873749817,41.34774341583252,-0.0021304462105035784
20,20480,54.37249642980586,40.66389379501343,-0.001046735653653741
21,21504,58.086514460524405,40.224207401275635,-0.0050166498287580906
22,22528,58.093437537447485,41.512023544311525,-0.0006345178233459591
23,23552,57.69189907590902,39.97621297836304,-0.002028950466774404
24,24576,57.42728369129363,44.22030830383301,-0.0027747865882702173
25,25600,56.621129845139784,42.223178482055665,-0.0022987731033936145
26,26624,58.93343753744747,41.23573532104492,-0.006086918781511486
27,27648,59.34728369129364,41.63928413391113,-0.0024433531099930404
28,28672,56.20711181442126,45.02512865066528,-0.0006720853154547513
29,29696,56.828822152832096,46.34872980117798,-0.0016263815690763296
30,30720,57.49576341661625,43.351784801483156,-0.0045867425622418525
31,31744,57.73576341661626,41.72984838485718,-0.0001744729350320995
32,32768,58.37574522975516,44.71947269439697,-0.0015768633224070073
33,33792,57.427283691293624,43.1443229675293,-0.0026267469045706095
34,34816,58.25497599898595,44.537322235107425,0.0005597764044068754
35,35840,55.888052922062855,23.059447717666625,0.0032939710188657047
36,36864,53.53959138360132,12.296101784706115,-0.0009202997665852308
37,37888,52.804975998985924,12.639915418624877,-0.00166021449258551
38,38912,53.08882215283209,9.769059896469116,-0.002267230662982911
39,39936,54.80882215283208,8.183724570274354,-0.00027177766896784304
40,40960,55.33036061437055,9.456540632247926,-0.0011251635616645217
41,41984,53.85728369129363,9.152651047706604,-0.004328631353564561
42,43008,54.91805292206286,8.33563448190689,0.0006367943016812206
43,44032,55.45266830667824,9.591937518119812,-0.0004539869260042906
44,45056,56.79420676821671,6.242027544975281,-0.0005411320016719401
45,46080,54.55343753744747,8.305971705913544,-0.0027420538710430263
46,47104,57.02497599898594,7.379143512248993,-0.0004404418636113405
47,48128,57.371129845139784,8.87370753288269,-8.657565340399742e-05
48,49152,57.95112984513978,8.823398685455322,-0.00016285909805446863
49,50176,57.689591383601325,10.750666379928589,0.00019644746789708732
50,51200,56.61112984513979,8.473980653285981,-0.0008759840857237577
51,52224,55.86574522975517,8.14510910511017,-0.0004232045263051987
52,53248,55.04266830667825,7.156297123432159,-0.00045499986736103893
53,54272,55.59189907590901,6.297665274143219,-0.00011789664858952165
54,55296,56.237283691293634,5.4173020124435425,-0.0002422075252979994
55,56320,56.025745229755174,5.832592153549195,-0.00016684496076777578
56,57344,57.134206768216714,4.8003116846084595,-0.000264543597586453
57,58368,56.090360614370546,5.558058226108551,-0.0003892335924319923
58,59392,56.539591383601326,5.432559370994568,-0.0006243936717510223
59,60416,55.59497599898593,6.074285686016083,-0.0003281607409007847
60,61440,58.24112984513979,3.859935837984085,-0.00025083739310503004
61,62464,57.40189907590902,5.865769600868225,-0.00011481278343126178
62,63488,59.38959138360133,3.8654049813747404,3.994401777163148e-05
63,64512,58.08959138360132,5.058354741334915,-0.00029037841595709325
64,65536,58.29112984513979,4.740106397867203,-8.602332090958952e-05
65,66560,58.957283691293654,5.536269009113312,-0.00020280857570469378
66,67584,58.230360614370554,4.191881477832794,-0.00010051222052425146
67,68608,56.97343753744749,4.417721372842789,-4.70784492790699e-05
68,69632,56.355745229755165,5.220551204681397,-0.0003741695312783122
69,70656,58.20036061437056,4.202095198631286,-0.00019737313268706203
70,71680,57.23959138360133,4.632656222581863,-0.0004972599563188851
71,72704,59.26266830667826,3.31918026804924,4.359928425401449e-05
72,73728,58.671129845139795,3.6992776453495027,-0.00023982809507288038
73,74752,59.2988221528321,3.169516718387604,-1.5476427506655455e-05
74,75776,58.5265144605244,3.436470401287079,-0.00010097208432853222
75,76800,58.821129845139794,2.71134529709816,-0.00012156639713793993
76,77824,57.62497599898594,4.597883933782578,-4.88016870804131e-05
77,78848,56.46266830667825,3.786615264415741,-3.551734844222665e-05
78,79872,55.89343753744747,3.443729817867279,-0.000377404986647889
79,80896,56.41036061437056,5.092718011140823,-5.073721986263991e-05
80,81920,57.23420676821671,3.145157778263092,-0.0002854514750652015
81,82944,59.56959138360132,2.721214401721954,-6.18324731476605e-05
82,83968,59.43343753744748,3.050322473049164,-0.00013298612902872263
83,84992,58.0988221528321,4.626753163337708,-3.874814137816429e-05
84,86016,57.92959138360133,2.442099705338478,-0.00017652265960350634
85,87040,58.993437537447484,2.8375249683856962,-1.1173274833709001e-05
86,88064,57.906514460524406,3.725776958465576,-0.0001106338226236403
87,89088,58.07343753744749,2.5507341623306274,-0.0002024745917879045
88,90112,59.36497599898595,2.407336863875389,-0.0002796399872750044
89,91136,58.12805292206288,2.942815309762955,-4.9417628906667234e-05
90,92160,57.66959138360132,3.432192939519882,-0.00012106932699680328
91,93184,59.4111298451398,2.11998145878315,-2.178854774683714e-05
92,94208,58.66343753744748,3.4406584560871125,-1.2531166430562734e-05
93,95232,57.17343753744748,3.9205688774585723,5.3561455570161345e-05
94,96256,56.27882215283209,3.221148872375488,-4.913958255201578e-05
95,97280,57.57805292206285,2.723373943567276,-1.935067120939493e-06
96,98304,58.67420676821672,2.524240052700043,-5.924131255596876e-06
97,99328,59.03959138360132,2.3262461364269256,-1.3834773562848568e-05
